# Package list from WSL host system (Ubuntu)
# Generated: 2026年 08月 28日 星期五 23:16:27 CST
# Total packages: 1105

Package                                  Version              Architecture
libdb5.3t64:amd64                        5.3.28+dfsg2-10ubuntu1 amd64
libdbus-1-3:amd64                        1.16.2-2ubuntu4      amd64
libdconf1:amd64                          0.49.0-4             amd64
libdebconfclient0:amd64                  0.280ubuntu1         amd64
libdecor-0-0:amd64                       0.2.5-1              amd64
libdecor-0-plugin-1-gtk:amd64            0.2.5-1              amd64
libdeflate0:amd64                        1.23-2ubuntu1        amd64
libdevmapper1.02.1:amd64                 2:1.02.205-2ubuntu3  amd64
libdisplay-info3:amd64                   0.3.0-1              amd64
libdjvulibre-text                        3.5.29-1             all
libdjvulibre21:amd64                     3.5.29-1             amd64
libdouble-conversion3:amd64              3.4.0-1              amd64
libdpkg-perl                             1.23.7ubuntu1        all
libdrm-amdgpu1:amd64                     2.4.131-1            amd64
libdrm-common                            2.4.131-1            all
libdrm-intel1:amd64                      2.4.131-1            amd64
libdrm2:amd64                            2.4.131-1            amd64
libduktape207:amd64                      2.7.0+tests-0ubuntu4 amd64
libdv4t64:amd64                          1.0.0-17.1build2     amd64
libeatmydata1:amd64                      131-2build1          amd64
libedit2:amd64                           3.1-20251016-1       amd64
libefiboot1t64:amd64                     39-2                 amd64
libefivar1t64:amd64                      39-2                 amd64
libegl-mesa0:amd64                       26.0.8-1ubuntu0.3    amd64
libegl1:amd64                            1.7.0-3              amd64
libelf-dev:amd64                         0.194-4              amd64
libelf1t64:amd64                         0.194-4              amd64
libencode-locale-perl                    1.05-3               all
libepoxy0:amd64                          1.5.10-2build1       amd64
liberror-perl                            0.17030-1            all
libestr0:amd64                           0.1.11-2build1       amd64
libevdev2:amd64                          1.13.6+dfsg-1        amd64
libevent-core-2.1-7t64:amd64             2.1.12-stable-10build2 amd64
libexif12:amd64                          0.6.25-2ubuntu0.1    amd64
libexpat1:amd64                          2.7.4-1              amd64
libexpat1-dev:amd64                      2.7.4-1              amd64
libext2fs2t64:amd64                      1.47.2-3ubuntu4      amd64
libfakeroot:amd64                        1.37.2-1             amd64
libfastjson4:amd64                       1.2304.0-2build1     amd64
libfcgi-bin                              2.4.5-0.1build2      amd64
libfcgi-perl                             0.82+ds-3build3      amd64
libfcgi0t64:amd64                        2.4.5-0.1build2      amd64
libfdisk1:amd64                          2.41.3-3ubuntu2      amd64
libfdt1:amd64                            1.7.2-2ubuntu1       amd64
libffi8:amd64                            3.5.2-4              amd64
libfftw3-double3:amd64                   3.3.10-2fakesync1build3 amd64
libfftw3-single3:amd64                   3.3.10-2fakesync1build3 amd64
libfido2-1:amd64                         1.16.0-2build1       amd64
libfile-basedir-perl                     0.09-2               all
libfile-desktopentry-perl                0.23-1               all
libfile-fcntllock-perl                   0.22-4ubuntu6        amd64
libfile-listing-perl                     6.16-1               all
libfile-mimeinfo-perl                    0.36-2               all
libfl-dev:amd64                          2.6.4-8.2build2      amd64
libfl2:amd64                             2.6.4-8.2build2      amd64
libflac14:amd64                          1.5.0+ds-5           amd64
libfont-afm-perl                         1.20-4               all
libfontconfig1:amd64                     2.17.1-3ubuntu1      amd64
libfontenc1:amd64                        1:1.1.8-1build2      amd64
libfreetype6:amd64                       2.14.2+dfsg-1ubuntu0.1 amd64
libfribidi0:amd64                        1.0.16-5             amd64
libfuse3-3:amd64                         3.10.5-1build1       amd64
libfuse3-4:amd64                         3.18.2-1             amd64
libfyaml0:amd64                          0.9.4-1              amd64
libgav1-2:amd64                          0.20.0-2build1       amd64
libgbm1:amd64                            26.0.8-1ubuntu0.3    amd64
libgc1:amd64                             1:8.2.12-1           amd64
libgcc-15-dev:amd64                      15.2.0-16ubuntu1     amd64
libgcc-s1:amd64                          16-20260322-1ubuntu1 amd64
libgcrypt20:amd64                        1.12.0-2ubuntu1      amd64
libgdbm-compat4t64:amd64                 1.26-1build1         amd64
libgdbm6t64:amd64                        1.26-1build1         amd64
libgdk-pixbuf-2.0-0:amd64                2.44.5+dfsg-4ubuntu1 amd64
libgdk-pixbuf2.0-common                  2.44.5+dfsg-4ubuntu1 all
libgfortran5:amd64                       16-20260322-1ubuntu1 amd64
libgif7:amd64                            5.2.2-1ubuntu3.2     amd64
libgirepository-2.0-0:amd64              2.88.0-1             amd64
libgl1:amd64                             1.7.0-3              amd64
libgl1-mesa-dri:amd64                    26.0.8-1ubuntu0.3    amd64
libglib2.0-0t64:amd64                    2.88.0-1             amd64
libglib2.0-bin                           2.88.0-1             amd64
libglib2.0-data                          2.88.0-1             all
libglvnd0:amd64                          1.7.0-3              amd64
libglx-mesa0:amd64                       26.0.8-1ubuntu0.3    amd64
libglx0:amd64                            1.7.0-3              amd64
libglycin-2-0:amd64                      2.1.1+ds-0ubuntu1    amd64
libgmp10:amd64                           2:6.3.0+dfsg-5ubuntu2 amd64
libgnutls30t64:amd64                     3.8.12-2ubuntu1.1    amd64
libgomp1:amd64                           16-20260322-1ubuntu1 amd64
